ID,State,PhoneNumber,WebsiteVisits,CompanySize,EmailOpens,EmailClicks,LeadSource,Customer
7545550,Ohio,2-660-823-2444,10,106,14,7,Webinar,No
3824383,Colorado,5-484-700-5755,15,51,26,8,Print,Yes
6263389,Pennsylvania,6-554-705-2850,14,142,10,9,Adwords,No
4625163,Wyoming,6-468-186-1647,6,136,19,4,Print,No
1348223,Maryland,2-645-088-3657,5,137,14,6,Print,No
3366294,North Carolina,2-173-416-0630,10,75,7,6,Print,No
5832346,North Carolina,6-766-073-1833,10,107,19,5,Tradeshow,No
3387545,Delaware,4-830-382-2021,3,112,7,0,Tradeshow,No
4280397,Delaware,2-881-505-0864,13,130,13,3,Print,No
8332899,Colorado,5-333-857-7846,15,120,10,14,Print,Yes
8507059,Maryland,5-471-687-0020,3,136,6,2,Tradeshow,No
4458966,Montana,7-061-474-8708,7,94,10,3,Tradeshow,No
4218601,Virginia,2-652-185-8851,7,62,19,11,Webinar,Yes
1605789,Oregon,8-736-434-2675,10,78,4,5,Tradeshow,No
0373015,North Carolina,6-002-748-8315,12,116,11,5,Tradeshow,No
1313438,North Carolina,4-127-522-1416,10,115,8,3,Print,No
8311372,Vermont,0-633-784-2857,2,104,3,8,Print,No
5254746,Delaware,8-668-330-4341,15,55,13,12,Print,Yes
3751005,North Carolina,0-527-277-1015,2,81,18,3,Print,No
3229956,Oregon,7-421-180-5584,14,101,14,8,Webinar,No
6925474,Oregon,3-526-334-0845,16,111,12,1,Print,No
0977676,Vermont,0-388-281-1630,9,120,10,12,Print,Yes
8257097,Illinois,1-820-502-3607,2,124,6,6,Print,No
0086382,Montana,6-876-240-1178,13,93,10,7,Print,No
9199530,New York,7-134-204-6748,14,57,14,7,Adwords,Yes
6155448,New Jersey,2-748-861-1581,12,58,29,9,Adwords,Yes
2327443,Connecticut,1-474-516-4232,11,70,4,3,Webinar,Yes
8771768,Maryland,8-572-721-3350,14,133,17,7,Print,No
8199329,North Carolina,0-747-271-6864,5,68,24,4,Print,Yes
4732419,New Jersey,6-266-787-3677,15,112,8,4,Tradeshow,No
5859312,North Carolina,2-612-043-8606,15,95,17,8,Adwords,No
9251973,Virginia,1-676-520-0080,2,92,9,6,Tradeshow,No
4739035,North Carolina,3-682-122-5435,3,100,13,3,Adwords,No
5632423,New Jersey,5-240-523-5780,18,61,10,8,Adwords,Yes
9198183,Maryland,7-811-045-3736,9,105,2,8,Tradeshow,No
7007399,Oregon,5-547-575-2078,5,125,2,7,Adwords,No
9905766,Montana,8-570-444-3326,15,98,14,6,Tradeshow,No
6083132,New Jersey,1-813-418-2705,21,64,24,8,Adwords,Yes
3392412,Maryland,1-303-131-7881,5,148,13,4,Print,No
5676553,Colorado,3-587-301-3737,6,100,6,7,Tradeshow,No
7641067,Connecticut,1-641-853-3614,11,130,9,7,Print,No
1859793,North Carolina,0-558-067-4307,24,90,4,10,Webinar,Yes
3495316,Colorado,1-212-001-2276,13,89,14,0,Print,No
2403019,Montana,5-442-575-4606,14,107,7,4,Tradeshow,No
0829124,Oregon,5-831-456-1800,2,117,6,2,Print,No
3276650,Colorado,4-441-263-0233,7,85,8,4,Adwords,No
1665666,Montana,3-116-184-5602,3,140,13,2,Adwords,No
4906711,Illinois,0-236-588-1431,8,121,7,3,Print,No
9250437,North Carolina,8-148-820-3157,26,66,15,5,Webinar,Yes
0449956,North Carolina,3-763-512-8660,7,108,9,1,Webinar,No
4034179,Georgia,5-636-586-4320,9,94,2,6,Print,No
3243829,Colorado,8-280-877-0343,13,130,16,3,Tradeshow,No
2430757,Indiana,4-658-817-7363,3,104,10,6,Tradeshow,No
8807507,Oregon,5-816-762-6622,29,121,15,14,Print,Yes
3542657,North Carolina,2-776-586-8808,9,107,10,3,Adwords,No
7172377,Georgia,1-867-658-5285,14,145,16,8,Tradeshow,No
2214243,Connecticut,4-836-574-3156,15,59,8,11,Webinar,Yes
1385327,Connecticut,7-001-838-6604,12,75,6,8,Tradeshow,Yes
4625434,Pennsylvania,3-172-700-0633,16,79,10,7,Webinar,No
7526472,Delaware,5-267-032-8617,12,58,15,14,Print,Yes
2475929,Montana,4-352-234-1527,10,84,10,2,Tradeshow,No
2765609,Maryland,6-772-207-7412,15,99,11,4,Print,Yes
2361314,Wyoming,1-884-385-0644,5,120,15,5,Print,No
3714692,Connecticut,4-284-250-7886,5,85,13,3,Print,No
5752468,Delaware,4-561-441-4587,16,97,16,5,Webinar,No
2695534,Connecticut,0-517-351-5036,7,131,2,1,Print,No
9284139,Vermont,7-154-012-7882,22,135,8,8,Print,Yes
4655409,Vermont,7-304-633-4460,13,140,13,0,Tradeshow,No
2916842,Vermont,1-815-026-6265,7,56,9,10,Webinar,Yes
7027205,Colorado,6-066-617-8868,5,149,13,7,Print,No
5943817,New York,1-022-878-3061,28,79,15,3,Print,Yes
7721429,Montana,6-140-172-1716,15,130,5,6,Adwords,No
9442630,Colorado,2-112-772-1718,17,133,4,0,Tradeshow,No
7976827,Georgia,8-655-787-2658,13,135,16,6,Tradeshow,No
6772990,North Carolina,4-281-415-2776,16,90,5,9,Tradeshow,Yes
7648622,Virginia,8-532-647-5522,11,133,13,4,Tradeshow,No
7754581,Maryland,2-423-074-7142,15,94,8,8,Webinar,No
1618494,Montana,1-305-301-1615,2,87,11,4,Tradeshow,No
1683261,Pennsylvania,8-604-428-7374,21,80,9,9,Adwords,Yes
