ID,PhoneNumber,CompanySize,WebsiteVisits,EmailOpens,EmailClicks,LeadSource,Customer
3462032,0-688-284-4470,58,28,26,6,Adwords,Yes
8298270,2-103-463-5811,231,2,5,3,Print,No
0742761,6-348-563-2625,159,7,5,2,Tradeshow,No
6164361,3-028-022-5576,118,6,3,3,Print,No
7521035,2-306-480-5232,221,3,4,1,Print,No
7266969,6-260-108-2468,229,5,6,5,Print,No
8997505,3-220-886-5658,103,7,5,0,Webinar,No
5962849,4-566-038-2463,90,13,22,6,Tradeshow,Yes
5632423,8-453-870-5514,96,16,21,6,Webinar,Yes
3664569,6-548-354-8224,196,4,2,4,Tradeshow,No
6980918,4-651-173-8383,211,5,5,5,Adwords,No
7754581,8-528-787-6158,128,5,4,1,Adwords,No
7545550,7-672-538-4557,235,7,5,4,Tradeshow,No
3552173,5-420-760-6576,94,13,28,12,Tradeshow,Yes
0636583,2-530-250-5241,103,2,4,0,Webinar,No
7751066,8-075-883-4446,93,7,3,1,Tradeshow,No
2312066,0-026-577-2585,51,28,13,9,Adwords,Yes
1802550,6-765-012-1230,232,5,6,0,Tradeshow,No
5454595,0-878-231-1604,88,15,15,14,Webinar,Yes
8398523,1-323-734-6128,125,2,6,4,Webinar,No
9098369,1-765-328-4087,162,7,4,0,Adwords,No
2239700,7-520-528-8606,166,3,6,4,Adwords,No
2775671,3-066-488-0875,166,4,7,1,Print,No
0663975,1-104-566-5801,61,15,27,10,Print,Yes
2381523,0-882-740-8212,127,2,3,4,Tradeshow,No
1330608,4-855-765-2261,125,3,7,5,Webinar,No
3824383,2-672-477-6828,56,27,25,3,Adwords,Yes
2225273,2-275-634-0723,148,5,4,2,Print,No
4739035,7-774-252-1132,149,6,4,0,Webinar,No
0321192,3-776-764-7842,238,3,3,2,Print,No
0067230,1-473-312-2332,128,5,4,4,Webinar,No
1060284,0-305-616-3178,157,2,2,3,Print,No
4320110,7-853-822-4065,168,3,2,0,Tradeshow,No
1615098,2-774-501-2376,73,29,25,11,Adwords,Yes
2227725,0-832-066-3115,52,13,22,7,Adwords,Yes
2650839,7-278-773-7867,243,5,4,4,Webinar,No
1087165,2-234-585-1664,53,13,13,14,Webinar,Yes
3307976,3-860-470-4527,58,9,18,3,Adwords,Yes
6322076,5-348-533-4318,209,4,3,0,Tradeshow,No
4273681,5-653-862-0480,170,2,4,0,Tradeshow,No
8896376,4-657-601-8677,194,5,4,0,Tradeshow,No
7271163,6-512-574-8544,136,7,5,4,Print,No
4632556,7-624-564-3685,189,5,3,0,Webinar,No
4740708,0-740-332-7845,124,4,4,2,Adwords,No
9226477,2-135-250-7411,94,3,2,2,Print,No
8224978,7-354-415-2550,159,4,6,3,Print,No
7397711,8-877-258-1002,125,3,4,2,Print,No
0616042,0-848-225-5307,225,7,7,1,Tradeshow,No
9975718,2-434-311-7222,53,23,12,6,Webinar,Yes
5483760,3-150-384-6747,120,5,3,0,Tradeshow,No
3046487,1-636-581-3838,117,7,5,1,Adwords,No
5028745,3-457-360-7080,84,13,22,7,Webinar,Yes
3053100,5-165-737-1251,70,29,18,7,Adwords,Yes
4908730,7-161-121-5805,108,3,3,1,Webinar,No
3310283,1-670-270-1862,135,6,6,4,Tradeshow,No
0449956,2-820-517-1172,96,3,2,0,Tradeshow,No
1065760,5-558-463-1522,146,4,3,2,Tradeshow,No
8030268,0-620-176-5370,115,3,4,2,Adwords,No
3242680,0-147-132-8035,102,2,7,2,Webinar,No
9858514,4-232-410-8115,141,2,5,0,Tradeshow,No
0466145,4-564-742-2737,240,4,6,4,Adwords,No
8570692,1-013-232-0326,213,7,3,0,Adwords,No
9654858,3-474-505-6174,97,18,24,11,Print,Yes
2784118,7-541-102-1008,216,2,6,5,Webinar,No
3033319,6-656-418-1174,57,7,17,13,Webinar,Yes
7302796,8-302-721-7244,231,2,4,0,Print,No
1662076,0-808-812-0443,211,3,2,2,Print,No
0868886,6-883-210-2504,187,6,5,1,Print,No
5260678,3-050-521-5011,99,9,17,13,Adwords,Yes
6168295,6-423-018-7460,63,16,7,10,Adwords,Yes
6531456,1-104-077-0216,191,3,2,4,Print,No
0050017,1-378-635-0307,171,2,5,4,Print,No
3378930,6-312-568-1735,198,7,5,3,Print,No
0107424,3-200-567-3386,247,6,6,0,Webinar,No
3773583,5-000-208-1833,120,4,7,3,Webinar,No
6983522,5-130-856-1250,202,6,4,2,Tradeshow,No
8605036,2-116-845-0611,75,20,25,6,Adwords,Yes
4313388,4-702-873-0113,147,7,4,4,Print,No
8887096,4-021-507-5356,224,3,4,0,Adwords,No
9412904,3-115-486-1771,74,24,5,3,Print,Yes
5720880,2-568-360-4674,55,19,29,12,Webinar,Yes
1244279,5-576-507-6660,85,9,6,7,Print,Yes
4351110,0-730-270-2152,55,28,7,5,Adwords,Yes
1213510,8-173-100-8477,172,3,3,2,Adwords,No
8366431,3-753-710-6400,213,4,6,4,Adwords,No
2145997,2-384-313-6517,80,28,26,5,Adwords,Yes
2390480,2-068-841-3248,184,7,3,0,Webinar,No
8403194,5-655-266-7518,125,4,3,0,Print,No
9286248,2-458-710-3572,237,2,3,0,Tradeshow,No
3609799,1-528-003-7466,99,5,22,3,Adwords,Yes
8949695,5-804-518-4583,221,5,7,3,Print,No
