ID,State,PhoneNumber,CompanySize,WebsiteVisits,EmailOpens,EmailClicks,LeadSource,Customer
7754581,Wyoming,8-528-787-6158,128,5,4,1,Adwords,No
2040792,Pennsylvania,5-402-440-8770,221,7,6,5,Tradeshow,No
2361314,Wyoming,8-187-516-5434,229,7,3,0,Print,No
7526472,Delaware,8-265-204-4542,66,9,24,14,Adwords,Yes
3891303,Oregon,2-745-110-6665,245,6,2,0,Adwords,No
2387963,Indiana,7-260-075-5274,85,2,6,4,Tradeshow,No
3242680,Maryland,0-147-132-8035,102,2,7,2,Webinar,No
4402456,Ohio,7-717-037-2370,100,5,2,5,Print,No
1963707,South Carolina,8-321-815-8135,176,3,5,0,Print,No
0829703,Indiana,8-283-171-3887,146,5,2,1,Tradeshow,No
7042485,Nevada,2-661-866-7384,231,2,7,4,Webinar,No
8799223,Oklahoma,5-083-280-0786,202,3,6,1,Webinar,No
0375515,Hawaii,7-224-832-3068,96,6,7,5,Print,No
0977676,Delaware,6-680-620-2253,88,8,19,9,Adwords,Yes
0834200,Louisiana,6-400-826-5783,180,2,2,3,Tradeshow,No
9194420,Florida,1-570-522-7303,89,3,7,0,Print,No
0923967,Massachussets,0-741-837-2644,162,2,6,3,Adwords,No
4039852,Arizona,8-565-410-5733,160,5,4,3,Adwords,No
0466145,Washington,4-564-742-2737,240,4,6,4,Adwords,No
3164364,Pennsylvania,2-720-562-3316,216,3,5,1,Tradeshow,No
0579841,Delaware,2-364-643-2271,56,22,16,14,Adwords,Yes
8943954,Virginia,1-260-384-2653,197,6,4,3,Tradeshow,No
8755632,Delaware,7-025-571-6418,80,14,5,12,Adwords,Yes
3380008,Minnesota,2-228-382-3650,213,7,2,3,Tradeshow,No
1805727,Kentucky,1-551-885-4567,222,5,7,4,Print,No
2852632,Nevada,8-213-507-6608,135,6,4,5,Webinar,No
4802269,Georgia,6-378-045-1647,130,2,3,3,Tradeshow,No
1144410,Montana,8-555-087-7005,249,7,6,3,Print,No
7339452,Louisiana,0-811-414-7110,136,7,6,3,Print,No
5871498,Virginia,4-600-845-0384,146,6,2,3,Webinar,No
9519220,New York,5-304-668-6204,99,4,5,5,Adwords,No
1926102,Pennsylvania,3-131-422-4482,136,2,4,3,Tradeshow,No
8179104,Montana,7-876-182-2307,185,6,4,2,Webinar,No
9517789,New York,7-160-344-4720,72,12,8,7,Webinar,Yes
6531667,Delaware,0-767-425-4078,247,4,2,4,Adwords,No
2430757,Indiana,3-176-201-2368,237,2,7,0,Print,No
4431137,Massachussets,2-018-248-4477,220,5,7,1,Print,No
9250437,Connecticut,7-426-232-8416,59,17,23,10,Print,Yes
8030268,Texas,0-620-176-5370,115,3,4,2,Adwords,No
9101635,Iowa,1-313-553-1274,110,3,5,4,Tradeshow,No
9827135,Minnesota,0-735-246-1243,137,6,4,1,Print,No
