ID,State ,PhoneNumber,CompanySize ,WebsiteVisits,EmailOpens,Customer
2690509,Tennessee,5-017-225-2278,127,7,2,No
1145567,Louisiana,3-431-801-7011,232,2,5,No
7339452,Louisiana,0-811-414-7110,109,7,6,No
4955735,New Hampshire,4-422-230-6173,238,6,3,No
3065666,New Mexico,2-764-427-6034,176,5,2,No
9109453,Kentucky,5-470-601-6765,233,2,6,No
8206387,Arizona,6-741-681-6021,35,6,5,No
9321603,Hawaii,0-518-370-8636,222,6,7,No
9519220,New York,5-304-668-6204,60,4,5,No
4886716,Iowa,7-062-506-5705,147,4,6,No
3702909,Maryland,4-720-823-8523,78,15,10,Yes
5873168,Delaware,2-765-160-7258,61,26,6,Yes
5161030,New Jersey,2-414-520-8046,57,10,23,Yes
4842187,North Dakota,3-761-584-7472,73,5,5,No
9678183,Georgia,5-215-826-8174,60,4,5,No
2232844,Maryland,0-814-581-6806,60,23,25,Yes
2288175,Illinois,7-050-548-1031,207,3,6,No
5377184,Arkansas,2-521-255-2414,68,2,2,No
1942356,Ohio,6-607-544-5464,3,7,7,No
4823985,Delaware,8-512-032-3421,81,9,19,Yes
8522180,Michigan,2-443-216-0142,71,7,2,No
3054934,Connecticut,0-710-641-8868,65,27,13,Yes
4568404,Oklahoma,0-374-462-4786,135,2,5,No
3664569,Oklahoma,6-548-354-8224,241,4,2,No
0663975,Connecticut,1-104-566-5801,61,15,27,Yes
7415283,Indiana,4-611-714-4315,16,5,6,No
2867111,Tennessee,7-841-086-1281,206,4,2,No
3378930,Nebraska,6-312-568-1735,149,7,5,No
7089547,Connecticut,2-131-256-4805,90,28,27,Yes
9517789,New York,7-160-344-4720,72,12,8,Yes
8398405,Delaware,7-612-840-5728,79,18,27,Yes
6103058,Ohio,8-217-352-8574,114,7,3,No
1831442,Kansas,6-165-545-5628,179,3,2,No
5982171,North Carolina,1-452-284-1162,119,6,4,No
8482277,New York,6-276-005-0143,84,21,20,Yes
7648622,Virginia,4-082-443-2538,229,2,2,No
6643580,Alaska,8-622-780-0705,26,2,6,No
5609192,New Mexico,3-178-120-0406,141,7,4,No
2371807,Illinois,4-413-744-2756,2,4,6,No
1684737,Massachussets,6-202-685-6127,22,6,3,No
1257315,Connecticut,8-827-832-8835,193,5,7,No
3406016,Georgia,2-653-301-8038,140,4,7,No
7218727,Maine,0-785-644-8283,129,4,2,No
1033705,New Jersey,5-661-711-4174,51,21,11,Yes
6561359,New Jersey,2-477-104-2875,233,3,3,No
5424237,Alabama,1-160-718-8074,36,7,5,No
5943817,New York,7-635-572-1874,55,11,14,Yes
0912137,New Jersey,2-134-810-1720,61,17,5,Yes
8711193,Massachussets,8-514-382-8711,238,7,3,No
0521298,Louisiana,6-841-486-6605,73,5,5,No
9827135,Minnesota,0-735-246-1243,69,6,4,No
5632423,New Jersey,8-453-870-5514,96,16,21,Yes
2649695,Pennsylvania,6-865-647-7338,99,7,25,Yes
0304982,Rhode Island,6-746-015-0833,228,6,7,No
3351984,New Jersey,6-647-874-7513,77,9,21,Yes
0086382,Texas,0-181-260-1176,45,2,4,No
5293049,Rhode Island,6-328-361-6183,74,2,6,No
7236135,Maryland,4-142-086-8484,79,7,15,Yes
7364750,Nebraska,2-111-812-8885,241,2,2,No
1441617,Connecticut,8-118-786-0865,230,6,6,No
2523840,Delaware,8-537-687-1011,85,22,24,Yes
4431137,Massachussets,2-018-248-4477,66,5,7,No
7026158,Oregon,8-864-370-8211,157,5,4,No
4746688,Iowa,8-566-648-1762,8,5,7,No
5680564,Montana,2-251-021-1840,222,2,6,No
8332899,New York,1-210-040-6023,90,5,7,Yes
5922349,Mississippi,6-036-534-3800,45,5,6,No
2765609,Pennsylvania,2-454-632-0727,55,6,17,Yes
9412904,Connecticut,3-115-486-1771,74,24,5,Yes
2787666,Oregon,1-622-462-7344,13,7,6,No
1926102,Pennsylvania,3-131-422-4482,239,2,4,No
3046487,West Virginia,1-636-581-3838,63,7,5,No
4824023,Connecticut,7-566-585-1657,114,3,2,No
4632556,Ohio,7-624-564-3685,5,5,3,No
2946175,Connecticut,2-836-874-1376,83,29,20,Yes
8948649,Oklahoma,5-674-384-5433,223,7,3,No
3582429,Delaware,8-826-174-4364,97,12,22,Yes
9101563,Oregon,6-086-833-8438,131,4,7,No
7955678,California,3-704-858-7373,45,5,7,No
4870494,Massachussets,3-463-226-4885,142,3,7,No
0375515,Hawaii,7-224-832-3068,62,6,7,No
2929500,Missouri,7-315-412-1540,237,2,6,No
0494335,South Carolina,4-726-377-8438,248,7,4,No
2633989,Maryland,4-673-875-1581,65,24,22,Yes
6808496,Colorado,2-168-644-0886,105,7,4,No
3484401,Hawaii,2-621-374-2725,53,7,5,No
7172377,South Dakota,1-256-847-3383,205,2,5,No
2542782,Maryland,3-861-516-1830,163,2,3,No
9282661,South Dakota,7-534-073-2886,232,4,4,No
0373015,North Carolina,8-864-423-6466,115,3,7,No
1805727,Kentucky,1-551-885-4567,48,5,7,No
5341867,Pennsylvania,3-183-067-7378,202,5,3,No
0042992,Missouri,6-208-818-8176,146,7,7,No
